Tiempo_s,Energia,Frecuencia,Es_Beat
29.9,0.221,0.358,0
30.0,0.223,0.288,0
30.1,0.156,0.306,0
30.2,0.235,0.294,1
30.3,0.107,0.35,0
30.4,0.19,0.3,0
30.5,0.157,0.345,0
30.6,0.222,0.65,1
30.7,0.151,0.829,0
30.8,0.196,0.361,0
30.9,0.154,0.283,0
31.0,0.191,0.317,1
31.1,0.077,0.617,0
31.2,0.238,0.487,0
31.3,0.163,0.482,1
31.4,0.19,0.2,0
31.5,0.194,0.348,0
31.6,0.194,0.208,0
31.7,0.142,0.311,0
31.8,0.179,0.338,1
31.9,0.137,0.281,0
32.0,0.17,0.344,0
32.1,0.154,0.603,1
32.2,0.264,0.245,0
32.3,0.109,0.288,0
32.4,0.226,0.29,0
32.5,0.203,0.358,1
32.6,0.222,0.319,0
32.7,0.161,0.38,0
32.8,0.162,0.144,0
32.9,0.197,0.349,1
33.0,0.201,0.302,0
33.1,0.084,0.286,0
33.2,0.237,0.397,0
33.3,0.188,0.291,1
33.4,0.246,0.27,0
33.5,0.105,0.421,0
33.6,0.22,0.37,0
33.7,0.162,0.527,1
33.8,0.168,0.215,0
33.9,0.146,0.365,0
34.0,0.249,0.279,0
34.1,0.16,0.322,1
34.2,0.156,0.352,0
34.3,0.148,1.0,0
34.4,0.249,0.447,0
34.5,0.206,0.516,1
34.6,0.195,0.321,0
34.7,0.211,0.37,0
34.8,0.183,0.189,0
34.9,0.14,0.36,1
35.0,0.177,0.348,0
35.1,0.166,0.728,0
35.2,0.222,0.187,0
35.3,0.2,0.444,1
35.4,0.25,0.285,0
35.5,0.153,0.336,0
35.6,0.191,0.233,0
35.7,0.175,0.406,1
35.8,0.231,0.353,0
35.9,0.178,0.511,0
36.0,0.175,0.418,0
36.1,0.196,0.561,1
36.2,0.179,0.693,0
36.3,0.148,0.908,0
36.4,0.186,0.646,0
36.5,0.24,0.433,1
36.6,0.155,0.332,0
36.7,0.18,0.447,0
36.8,0.21,0.292,0
36.9,0.175,0.635,1
37.0,0.193,0.175,0
37.1,0.21,0.495,0
37.2,0.153,0.158,0
37.3,0.278,0.505,1
37.4,0.195,0.286,0
37.5,0.269,0.395,0
37.6,0.189,0.428,0
37.7,0.225,0.548,1
37.8,0.231,0.384,0
37.9,0.201,0.491,0
38.0,0.232,0.209,0
38.1,0.222,0.464,1
38.2,0.168,0.414,0
38.3,0.14,0.784,0
38.4,0.187,0.478,0
38.5,0.25,0.518,1
38.6,0.151,0.322,0
38.7,0.194,0.433,0
38.8,0.197,0.282,0
38.9,0.276,0.452,1
39.0,0.165,0.319,0
39.1,0.219,0.389,0
39.2,0.16,0.35,0
39.3,0.255,0.482,1
39.4,0.209,0.528,0
39.5,0.231,0.429,0
39.6,0.212,0.374,0
39.7,0.303,0.437,1
39.8,0.151,0.467,0
39.9,0.228,0.485,0
40.0,0.197,0.434,0
40.1,0.293,0.502,1
40.2,0.139,0.464,0
40.3,0.153,0.57,0
40.4,0.198,0.48,0
40.5,0.297,0.475,1
40.6,0.15,0.575,0
40.7,0.246,0.485,0
40.8,0.154,0.482,0
40.9,0.402,0.332,1
41.0,0.147,0.378,0
41.1,0.099,0.475,0
41.2,0.08,0.466,0
41.3,0.15,0.647,1
41.4,0.136,0.618,0
41.5,0.122,0.556,0
41.6,0.052,0.451,0
41.7,0.173,0.429,1
41.8,0.092,0.522,0
41.9,0.17,0.406,0
42.0,0.032,0.318,0
42.1,0.118,0.399,1
42.2,0.095,0.603,0
42.3,0.163,0.436,0
42.4,0.034,0.421,0
42.5,0.865,0.241,1
42.6,0.825,0.304,0
42.7,0.413,0.537,0
42.8,0.354,0.347,1
42.9,0.922,0.121,0
43.0,0.872,0.122,0
43.1,0.429,0.449,1
43.2,0.347,0.314,0
43.3,0.952,0.083,0
43.4,0.868,0.08,0
43.5,0.419,0.452,1
43.6,0.39,0.278,0
43.7,0.965,0.053,0
43.8,0.817,0.037,0
43.9,0.458,0.427,1
44.0,0.382,0.334,0
44.1,0.918,0.13,0
44.2,0.789,0.314,0
44.3,0.415,0.482,1
44.4,0.33,0.248,0
44.5,0.967,0.04,0
44.6,0.859,0.069,0
44.7,0.414,0.427,1
44.8,0.307,0.249,0
44.9,0.931,0.121,0
45.0,0.805,0.047,0
45.1,0.42,0.417,1
45.2,0.341,0.27,0
45.3,0.934,0.096,0
45.4,0.81,0.043,0
45.5,0.423,0.41,1
45.6,0.326,0.251,0
45.7,0.937,0.103,0
45.8,0.758,0.121,0
45.9,0.477,0.444,1
46.0,0.403,0.295,0
46.1,0.958,0.045,0
46.2,0.812,0.043,0
46.3,0.42,0.449,1
46.4,0.365,0.571,0
46.5,0.972,0.095,0
46.6,0.758,0.107,0
46.7,0.462,0.386,1
46.8,0.361,0.308,0
46.9,0.959,0.056,0
47.0,0.746,0.151,0
47.1,0.499,0.341,1
47.2,0.407,0.288,0
47.3,0.955,0.054,0
47.4,0.647,0.056,1
47.5,0.434,0.355,0
47.6,0.341,0.19,0
47.7,0.881,0.161,0
47.8,0.626,0.341,1
47.9,0.413,0.369,0
48.0,0.334,0.337,0
48.1,0.93,0.122,0
48.2,0.64,0.207,1
48.3,0.475,0.328,0
48.4,0.376,0.181,0
48.5,0.928,0.096,0
48.6,0.685,0.128,1
48.7,0.44,0.333,0
48.8,0.383,0.199,0
48.9,0.974,0.092,0
49.0,0.59,0.243,1
49.1,0.408,0.353,0
49.2,0.432,0.262,0
49.3,0.973,0.028,0
49.4,0.577,0.104,1
49.5,0.412,0.322,0
49.6,0.459,0.294,0
49.7,0.96,0.046,0
49.8,0.63,0.171,1
49.9,0.431,0.304,0
50.0,0.496,0.241,0
50.1,0.962,0.026,0
50.2,0.534,0.273,1
50.3,0.406,0.324,0
50.4,0.544,0.287,0
50.5,0.927,0.196,0
50.6,0.587,0.432,1
50.7,0.349,0.295,0
50.8,0.573,0.212,0
50.9,0.972,0.02,0
51.0,0.524,0.407,1
51.1,0.368,0.42,0
51.2,0.623,0.261,0
51.3,0.923,0.134,0
51.4,0.509,0.399,1
51.5,0.402,0.347,0
51.6,0.683,0.184,0
51.7,0.895,0.173,0
51.8,0.521,0.443,1
51.9,0.376,0.403,0
52.0,0.691,0.192,0
52.1,0.942,0.099,0
52.2,0.474,0.438,1
52.3,0.432,0.274,0
52.4,0.759,0.161,0
52.5,1.0,0.022,0
52.6,0.567,0.417,1
52.7,0.452,0.282,0
52.8,0.789,0.175,0
52.9,0.959,0.038,0
53.0,0.524,0.44,1
53.1,0.381,0.422,0
53.2,0.8,0.192,0
53.3,0.86,0.254,0
53.4,0.48,0.506,1
53.5,0.402,0.299,0
53.6,0.823,0.154,0
53.7,0.888,0.166,0
53.8,0.521,0.485,1
53.9,0.414,0.339,0
54.0,0.838,0.15,0
54.1,0.822,0.318,0
54.2,0.444,0.543,1
54.3,0.345,0.409,0
