test_id,joint,amplitude_deg,frequency_hz,time_s,q_deseado_deg,q_medido_deg,error_deg
1,wrist,10.0,0.05,4.963785886764526,9.999352826425595,9.67741935483871,0.3219334715868847
1,wrist,10.0,0.05,5.013837814331055,9.99990550603684,9.67741935483871,0.3224861511981292
1,wrist,10.0,0.05,5.064005613327026,9.997978418551543,9.67741935483871,0.3205590637128335
1,wrist,10.0,0.05,5.114163637161255,9.993568995873193,9.970674486803519,0.022894509069674385
1,wrist,10.0,0.05,5.164382219314575,9.986668380566678,9.970674486803519,0.015993893763159406
1,wrist,10.0,0.05,5.214594841003418,9.977283375104882,9.970674486803519,0.006608888301363081
1,wrist,10.0,0.05,5.264767646789551,9.96542603665037,9.970674486803519,-0.005248450153148454
1,wrist,10.0,0.05,5.314959764480591,9.951086860302341,9.970674486803519,-0.019587626501177624
1,wrist,10.0,0.05,5.365029573440552,9.934317473145232,9.970674486803519,-0.036357013658287585
1,wrist,10.0,0.05,5.415214776992798,9.91504294443217,9.970674486803519,-0.055631542371349596
1,wrist,10.0,0.05,5.465428352355957,9.893290884778663,9.970674486803519,-0.07738360202485595
1,wrist,10.0,0.05,5.515521049499512,9.869138147154585,9.970674486803519,-0.10153633964893416
1,wrist,10.0,0.05,5.565690279006958,9.84249880857857,9.970674486803519,-0.1281756782249488
1,wrist,10.0,0.05,5.615831613540649,9.8134313637479,9.970674486803519,-0.15724312305561838
1,wrist,10.0,0.05,5.665994167327881,9.78191504800854,9.970674486803519,-0.18875943879497825
1,wrist,10.0,0.05,5.71606707572937,9.74803229863067,9.970674486803519,-0.22264218817284842
1,wrist,10.0,0.05,5.766162633895874,9.711720386881877,9.970674486803519,-0.25895409992164176
1,wrist,10.0,0.05,5.816352367401123,9.672928041267417,9.970674486803519,-0.2977464455361023
1,wrist,10.0,0.05,5.8665101528167725,9.631757884951549,9.970674486803519,-0.33891660185197026
1,wrist,10.0,0.05,5.91668176651001,9.588183875579968,9.970674486803519,-0.38249061122355066
1,wrist,10.0,0.05,5.966856479644775,9.542224945669627,9.970674486803519,-0.428449541133892
1,wrist,10.0,0.05,6.0170204639434814,9.493905719264017,9.970674486803519,-0.47676876753950204
1,wrist,10.0,0.05,6.0670952796936035,9.443320788766268,9.970674486803519,-0.5273536980372509
1,wrist,10.0,0.05,6.1172685623168945,9.39029252318172,9.970674486803519,-0.5803819636217984
1,wrist,10.0,0.05,6.167446851730347,9.334925616230867,9.970674486803519,-0.6357488705726517
1,wrist,10.0,0.05,6.217614650726318,9.277251302867034,9.970674486803519,-0.6934231839364848
1,wrist,10.0,0.05,6.267787218093872,9.217266767327676,9.970674486803519,-0.7534077194758435
1,wrist,10.0,0.05,6.317955732345581,9.154997406931034,9.970674486803519,-0.8156770798724846
1,wrist,10.0,0.05,6.368115663528442,9.090465172574728,9.970674486803519,-0.8802093142287912
1,wrist,10.0,0.05,6.418304920196533,9.02363592584313,9.970674486803519,-0.9470385609603884
1,wrist,10.0,0.05,6.468461275100708,8.954609357536025,9.970674486803519,-1.0160651292674938
1,wrist,10.0,0.05,6.518631935119629,8.883338897260982,9.970674486803519,-1.087335589542537
1,wrist,10.0,0.05,6.568810939788818,8.809849214815014,9.970674486803519,-1.1608252719885055
1,wrist,10.0,0.05,6.618982791900635,8.734181184741928,9.970674486803519,-1.2364933020615911
1,wrist,10.0,0.05,6.669150114059448,8.656350412410916,9.970674486803519,-1.3143240743926032
1,wrist,10.0,0.05,6.7192206382751465,8.576525877711429,9.970674486803519,-1.39414860909209
1,wrist,10.0,0.05,6.769299507141113,8.494565407163115,9.970674486803519,-1.4761090796404037
1,wrist,10.0,0.05,6.819472312927246,8.410342766237981,9.970674486803519,-1.5603317205655376
1,wrist,10.0,0.05,6.869643449783325,8.324033536410056,9.970674486803519,-1.6466409503934631
1,wrist,10.0,0.05,6.919813871383667,8.235657667216838,9.970674486803519,-1.735016819586681
1,wrist,10.0,0.05,6.969995498657227,8.145215474601848,9.970674486803519,-1.8254590122016712
1,wrist,10.0,0.05,7.0201575756073,8.052785360369722,9.970674486803519,-1.9178891264337974
1,wrist,10.0,0.05,7.070328235626221,7.958339112597018,9.384164222873899,-1.4258251102768806
1,wrist,10.0,0.05,7.120487928390503,7.861937129139407,9.384164222873899,-1.5222270937344922
1,wrist,10.0,0.05,7.170658111572266,7.763562147496366,9.384164222873899,-1.6206020753775334
1,wrist,10.0,0.05,7.2208473682403564,7.663220064825409,9.384164222873899,-1.72094415804849
1,wrist,10.0,0.05,7.271008253097534,7.5610311901329466,9.384164222873899,-1.8231330327409525
1,wrist,10.0,0.05,7.321081161499023,7.457148868723404,9.384164222873899,-1.9270153541504946
1,wrist,10.0,0.05,7.371267557144165,7.351179536261258,8.797653958944283,-1.4464744226830248
1,wrist,10.0,0.05,7.421447277069092,7.243397321282067,8.797653958944283,-1.554256637662216
1,wrist,10.0,0.05,7.471615552902222,7.133840230479361,8.797653958944283,-1.6638137284649215
1,wrist,10.0,0.05,7.521814584732056,7.022442314959774,8.797653958944283,-1.775211643984509
1,wrist,10.0,0.05,7.571984529495239,6.909363955455738,8.797653958944283,-1.888290003488545
1,wrist,10.0,0.05,7.622119903564453,6.7946488918325985,8.797653958944283,-2.003005067111684
1,wrist,10.0,0.05,7.672301530838013,6.678140103422812,8.504398826979473,-1.8262587235566619
1,wrist,10.0,0.05,7.72237753868103,6.560222028313301,8.504398826979473,-1.9441767986661729
1,wrist,10.0,0.05,7.772550344467163,6.440447762192733,8.504398826979473,-2.0639510647867407
1,wrist,10.0,0.05,7.822716236114502,6.319090244117266,8.504398826979473,-2.1853085828622074
1,wrist,10.0,0.05,7.872882843017578,6.196161458477137,8.211143695014663,-2.0149822365375254
1,wrist,10.0,0.05,7.922951698303223,6.0719376645027054,8.211143695014663,-2.139206030511957
1,wrist,10.0,0.05,7.973022222518921,5.946207366277683,8.211143695014663,-2.2649363287369795
1,wrist,10.0,0.05,8.023217678070068,5.818686593300317,7.9178885630498534,-2.0992019697495365
1,wrist,10.0,0.05,8.073403120040894,5.68974477051325,7.9178885630498534,-2.2281437925366037
1,wrist,10.0,0.05,8.123488426208496,5.5596501442137125,7.9178885630498534,-2.358238418836141
1,wrist,10.0,0.05,8.173664331436157,5.427940027840528,7.624633431085044,-2.1966934032445167
1,wrist,10.0,0.05,8.223868608474731,5.294805595767178,7.624633431085044,-2.3298278353178663
1,wrist,10.0,0.05,8.273943185806274,5.16070306897385,7.624633431085044,-2.4639303621111948
1,wrist,10.0,0.05,8.324060201644897,5.025208147447863,7.331378299120235,-2.3061701516723723
1,wrist,10.0,0.05,8.37424921989441,4.888270187610507,7.331378299120235,-2.443108111509728
1,wrist,10.0,0.05,8.424316167831421,4.750454448559621,7.331378299120235,-2.5809238505606142
1,wrist,10.0,0.05,8.47449016571045,4.611165048934876,7.038123167155426,-2.4269581182205497
1,wrist,10.0,0.05,8.524672985076904,4.470705191481972,7.038123167155426,-2.567417975673454
1,wrist,10.0,0.05,8.574827432632446,4.329214520451236,7.038123167155426,-2.70890864670419
1,wrist,10.0,0.05,8.62489128112793,4.186907549605427,7.038123167155426,-2.8512156175499994
1,wrist,10.0,0.05,8.674962043762207,4.043545015536117,6.158357771260997,-2.1148127557248797
1,wrist,10.0,0.05,8.725033044815063,3.8991812816192613,6.158357771260997,-2.2591764896417357
1,wrist,10.0,0.05,8.775212287902832,3.753537562742352,6.158357771260997,-2.404820208518645
1,wrist,10.0,0.05,8.825282335281372,3.6072810162425255,6.158357771260997,-2.5510767550184714
1,wrist,10.0,0.05,8.875375270843506,3.460064467807327,6.158357771260997,-2.69829330345367
1,wrist,10.0,0.05,8.925482034683228,3.31195003274744,6.158357771260997,-2.846407738513557
1,wrist,10.0,0.05,8.975647211074829,3.1628408427173245,5.278592375366569,-2.115751532649244
1,wrist,10.0,0.05,9.025838136672974,3.0128689700041447,5.278592375366569,-2.265723405362424
1,wrist,10.0,0.05,9.075906038284302,2.8625183494596045,5.278592375366569,-2.416074025906964
1,wrist,10.0,0.05,9.126067876815796,2.7111754684477125,5.278592375366569,-2.567416906918856
1,wrist,10.0,0.05,9.176170349121094,2.5593396013914664,5.278592375366569,-2.7192527739751022
1,wrist,10.0,0.05,9.226239919662476,2.4069699898228265,5.278592375366569,-2.871622385543742
1,wrist,10.0,0.05,9.276435852050781,2.2536180771507315,4.398826979472141,-2.14520890232141
1,wrist,10.0,0.05,9.326630353927612,2.09971014549128,4.398826979472141,-2.2991168339808614
1,wrist,10.0,0.05,9.376838207244873,1.9452389598450792,4.398826979472141,-2.453588019627062
1,wrist,10.0,0.05,9.426908731460571,1.7907082771162486,4.398826979472141,-2.6081187023558927
1,wrist,10.0,0.05,9.476984977722168,1.6357167824522305,4.398826979472141,-2.763110197019911
1,wrist,10.0,0.05,9.52706241607666,1.4803167635404881,4.398826979472141,-2.9185102159316534
1,wrist,10.0,0.05,9.577134370803833,1.3245674419346813,4.398826979472141,-3.07425953753746
1,wrist,10.0,0.05,9.627316236495972,1.1681474310385673,3.519061583577713,-2.3509141525391457
1,wrist,10.0,0.05,9.677378177642822,1.0118119180512999,3.519061583577713,-2.5072496655264134
1,wrist,10.0,0.05,9.727452754974365,0.8551865843916974,3.519061583577713,-2.6638749991860156
1,wrist,10.0,0.05,9.777522563934326,0.6983645600431837,3.225806451612903,-2.5274418915697194
1,wrist,10.0,0.05,9.827714681625366,0.540986062085649,3.225806451612903,-2.684820389527254
1,wrist,10.0,0.05,9.877880573272705,0.3835553871383279,3.225806451612903,-2.842251064474575
1,wrist,10.0,0.05,9.92795443534851,0.2263184921005426,2.932551319648094,-2.7062328275475513
1,wrist,10.0,0.05,9.97814130783081,0.06867056701412536,2.932551319648094,-2.8638807526339685
1,wrist,10.0,0.05,10.028313875198364,-0.08894948932708113,2.932551319648094,-3.021500808975175
1,wrist,10.0,0.05,10.078492879867554,-0.24656766419298898,2.0527859237536656,-2.2993535879466545
1,wrist,10.0,0.05,10.1285719871521,-0.4038109850930963,2.0527859237536656,-2.456596908846762
1,wrist,10.0,0.05,10.178753137588501,-0.5612744291094975,2.0527859237536656,-2.614060352863163
