point_id,x_target_m,y_target_m,z_target_m,theta_target_deg,reachable,selected_label,q1_waist_deg,q2_shoulder_deg,q3_elbow_deg,q4_wrist_deg,position_error_m,pitch_error_deg,reason
25,0.14342857142857143,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-43.27313261571264,64.54702940140336,-50.79974163605291,21.25271223464953,6.206335383118183e-17,-7.105427357601002e-15,Punto ejecutado.
26,0.15457142857142858,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-41.14040398805352,63.16074337302062,-44.3003852336548,16.13964186063417,6.798699777552591e-17,-7.105427357601002e-15,Punto ejecutado.
27,0.1657142857142857,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-39.17508463713569,61.14809978132341,-36.6719788187846,10.523879037461192,6.206335383118183e-17,0.0,Punto ejecutado.
28,0.17685714285714285,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-37.36232588789159,58.24828500464496,-27.39446094855302,4.146175943908065,0.0,7.105427357601002e-15,Punto ejecutado.
29,0.188,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-35.68826402308944,53.81487655781629,-15.15255096269127,-3.66232559512502,6.798699777552591e-17,7.105427357601002e-15,Punto ejecutado.
30,0.18242857142857144,-0.12538332364033564,0.3,-35.0,True,codo_arriba,-34.50077649295682,58.691866133479344,-28.727953139490843,5.036087006011493,5.551115123125783e-17,-7.105427357601002e-15,Punto ejecutado.
31,0.17685714285714285,-0.11573332628388046,0.3,-35.0,True,codo_arriba,-33.20028465625123,61.78528737633564,-38.940652641177465,12.155365264841825,9.614813431917819e-17,-7.105427357601002e-15,Punto ejecutado.
32,0.1712857142857143,-0.10608332892742528,0.3,-35.0,True,codo_arriba,-31.77140447433075,63.85581404706657,-47.362798317051386,18.50698426998482,5.003707553108401e-17,7.105427357601002e-15,Punto ejecutado.
33,0.1657142857142857,-0.09643333157097012,0.3,-35.0,True,codo_arriba,-30.196207005402375,65.18638022264955,-54.585861337793354,24.399481115143807,6.206335383118183e-17,-7.105427357601002e-15,Punto ejecutado.
34,0.16014285714285714,-0.08678333421451494,0.3,-35.0,True,codo_arriba,-28.453794908165033,65.91616675225691,-60.90177987156744,29.985613119310532,7.97218214573518e-17,1.4210854715202004e-14,Punto ejecutado.
35,0.15457142857142858,-0.07713333685805977,0.3,-35.0,True,codo_arriba,-26.51984734716664,66.12590666478123,-66.47459367396168,35.348687009180466,5.721958498152797e-17,1.4210854715202004e-14,Punto ejecutado.
36,0.149,-0.0674833395016046,0.3,-35.0,True,codo_arriba,-24.366167695745347,65.87034574292761,-71.40328675804618,40.53294101511856,3.925231146709438e-17,0.0,Punto ejecutado.
37,0.14342857142857143,-0.05783334214514943,0.3,-35.0,True,codo_arriba,-21.96030314156583,65.19423019898501,-75.75033896571404,45.55610876672903,8.326672684688674e-17,1.4210854715202004e-14,Punto ejecutado.
38,0.13785714285714284,-0.04818334478869424,0.3,-35.0,True,codo_arriba,-19.265362728809198,64.141952663136,-79.55697462413919,50.415021961003184,3.1031676915590914e-17,0.0,Punto ejecutado.
39,0.13228571428571428,-0.03853334743223907,0.3,-35.0,True,codo_arriba,-16.240250074007744,62.76425278269683,-82.85255193023542,55.08829914753859,6.938893903907228e-18,0.0,Punto ejecutado.
40,0.12671428571428572,-0.02888335007578391,0.3,-35.0,True,codo_arriba,-12.840656108238635,61.12307989137185,-85.66110565002809,59.53802575865623,7.97218214573518e-17,-1.4210854715202004e-14,Punto ejecutado.
41,0.12114285714285715,-0.019233352719328745,0.3,-35.0,True,codo_arriba,-9.021318983276077,59.294762128540896,-88.00628148160577,63.71151935306487,0.0,0.0,Punto ejecutado.
42,0.11557142857142857,-0.009583355362873552,0.3,-35.0,True,codo_arriba,-4.740206895432924,57.371177448457466,-89.91503590273108,67.5438584542736,0.0,0.0,Punto ejecutado.
43,0.11,6.664199358161205e-05,0.3,-35.0,True,codo_arriba,0.03471185912191387,55.458450609040554,-91.41997844180953,70.96152783276898,5.551115784870233e-17,7.105427357601002e-15,Punto ejecutado.
