point_id,x_target_m,y_target_m,z_target_m,theta_target_deg,reachable,selected_label,q1_waist_deg,q2_shoulder_deg,q3_elbow_deg,q4_wrist_deg,position_error_m,pitch_error_deg,reason
18,0.18,-0.09999999999999999,0.3,-35.0,True,codo_arriba,-29.054604099077146,63.02651149687851,-43.74185309531121,15.715341598432701,8.326672684688674e-17,7.105427357601002e-15,Punto ejecutado.
19,0.18,-0.09,0.3,-35.0,True,codo_arriba,-26.56505117707799,63.89467330278827,-47.543945325355736,18.649272022567466,6.359601310784502e-17,0.0,Punto ejecutado.
20,0.18,-0.07999999999999999,0.3,-35.0,True,codo_arriba,-23.962488974578182,64.54905380569424,-50.810602624099204,21.26154881840495,6.359601310784502e-17,-7.105427357601002e-15,Punto ejecutado.
21,0.18,-0.07,0.3,-35.0,True,codo_arriba,-21.250505507133244,65.03336607472777,-53.60135280141521,23.567986726687433,5.551115123125783e-17,0.0,Punto ejecutado.
22,0.18,-0.06,0.3,-35.0,True,codo_arriba,-18.43494882292201,65.3831349477145,-55.95817914126112,25.57504419354663,8.326672684688674e-17,1.4210854715202004e-14,Punto ejecutado.
23,0.18,-0.04999999999999999,0.3,-35.0,True,codo_arriba,-15.524110996754255,65.62809465867075,-57.911495107509765,27.28340044883903,1.0221629003393125e-16,1.4210854715202004e-14,Punto ejecutado.
24,0.18,-0.04000000000000001,0.3,-35.0,True,codo_arriba,-12.528807709151513,65.79330419807924,-59.483657640399926,28.6903534423207,5.721958498152797e-17,1.4210854715202004e-14,Punto ejecutado.
25,0.18,-0.03,0.3,-35.0,True,codo_arriba,-9.462322208025617,65.89954569733278,-60.6910997496025,29.791554052269735,1.5735385869920192e-16,2.1316282072803006e-14,Punto ejecutado.
26,0.16999999999999998,-0.03,0.3,-35.0,True,codo_arriba,-10.007979801441339,66.12546509551721,-66.54288661301945,35.41742151750224,5.647850449853784e-17,1.4210854715202004e-14,Punto ejecutado.
27,0.16,-0.03,0.3,-35.0,True,codo_arriba,-10.619655276155134,65.82792155762588,-71.8010471381575,40.973125580531594,5.561946577567963e-17,-1.4210854715202004e-14,Punto ejecutado.
28,0.15,-0.03,0.3,-35.0,True,codo_arriba,-11.309932474020213,65.01997764772807,-76.52190732185474,46.50192967412667,2.797157557069881e-17,0.0,Punto ejecutado.
29,0.14,-0.03,0.3,-35.0,True,codo_arriba,-12.0947570770121,63.70602875702667,-80.73655272988513,52.030523972858475,5.594315114139762e-17,1.4210854715202004e-14,Punto ejecutado.
30,0.13,-0.03,0.3,-35.0,True,codo_arriba,-12.994616791916505,61.88799164866361,-84.45890967644401,57.5709180277804,2.964296775167217e-17,0.0,Punto ejecutado.
31,0.12,-0.03,0.3,-35.0,True,codo_arriba,-14.036243467926479,59.57059347052008,-87.6910910453606,63.12049757484053,5.721958498152797e-17,1.4210854715202004e-14,Punto ejecutado.
32,0.10999999999999999,-0.03,0.3,-35.0,True,codo_arriba,-15.255118703057777,56.766298732536036,-90.42754993076976,68.66125119823371,1.5515838457795457e-17,0.0,Punto ejecutado.
33,0.1,-0.03,0.3,-35.0,True,codo_arriba,-16.69924423399362,53.49987046335826,-92.65885446871602,74.15898400535775,4.5102810375396984e-17,7.105427357601002e-15,Punto ejecutado.
34,0.09,-0.03,0.3,-35.0,True,codo_arriba,-18.43494882292201,49.81222934490111,-94.37551284887215,79.56328350397104,0.0,7.105427357601002e-15,Punto ejecutado.
35,0.07999999999999999,-0.03,0.3,-35.0,True,codo_arriba,-20.556045219583467,45.76318825061212,-95.57204953887023,84.8088612882581,1.5515838457795457e-17,-7.105427357601002e-15,Punto ejecutado.
36,0.07,-0.03,0.3,-35.0,True,codo_arriba,-23.198590513648185,41.432943300547095,-96.25144454255836,89.81850124201125,1.5515838457795457e-17,-7.105427357601002e-15,Punto ejecutado.
37,0.06,-0.03,0.3,-35.0,True,codo_arriba,-26.56505117707799,36.92304481049225,-96.43019056253702,94.50714575204476,1.5515838457795457e-17,0.0,Punto ejecutado.
38,0.06,-0.039999999999999994,0.3,-35.0,True,codo_arriba,-33.690067525979785,39.45235892360064,-96.39069180538502,91.93833288178436,4.443059973708341e-17,-2.1316282072803006e-14,Punto ejecutado.
39,0.06,-0.049999999999999996,0.3,-35.0,True,codo_arriba,-39.80557109226519,42.365774815388626,-96.15051638681463,88.784741571426,7.110250420355456e-17,-7.105427357601002e-15,Punto ejecutado.
40,0.06,-0.06,0.3,-35.0,True,codo_arriba,-45.0,45.49880340337871,-95.62979305425367,85.13098965087495,5.96906223549092e-17,-7.105427357601002e-15,Punto ejecutado.
41,0.06,-0.06999999999999999,0.3,-35.0,True,codo_arriba,-49.39870535499553,48.703099891212105,-94.76592495915428,81.06282506794217,7.757919228897728e-17,1.4210854715202004e-14,Punto ejecutado.
42,0.06,-0.08,0.3,-35.0,True,codo_arriba,-53.13010235415599,51.85048309699066,-93.51396594480283,76.66348284781219,7.757919228897728e-17,1.4210854715202004e-14,Punto ejecutado.
43,0.06,-0.09,0.3,-35.0,True,codo_arriba,-56.309932474020215,54.834175843598565,-91.84436856692541,72.01019272332682,5.003707553108401e-17,-2.1316282072803006e-14,Punto ejecutado.
44,0.06,-0.1,0.3,-35.0,True,codo_arriba,-59.03624346792648,57.56863000927898,-89.7395627027126,67.17093269343363,4.654751537338637e-17,1.4210854715202004e-14,Punto ejecutado.
45,0.06,-0.10999999999999999,0.3,-35.0,True,codo_arriba,-61.38954033403478,59.988270341699064,-87.19010368829495,62.201833346595905,5.887846720064156e-17,1.4210854715202004e-14,Punto ejecutado.
46,0.06,-0.12,0.3,-35.0,True,codo_arriba,-63.43494882292201,62.04520549899405,-84.1907427372759,57.14553723828185,1.5515838457795457e-17,0.0,Punto ejecutado.
47,0.06,-0.13,0.3,-35.0,True,codo_arriba,-65.22485943116808,63.70602875702667,-80.73655272988513,52.030523972858475,5.928593550334434e-17,1.4210854715202004e-14,Punto ejecutado.
48,0.06,-0.13999999999999999,0.3,-35.0,True,codo_arriba,-66.80140948635182,64.94793827133279,-76.81905990730966,46.87112163597687,8.326672684688674e-17,-1.4210854715202004e-14,Punto ejecutado.
49,0.06,-0.15,0.3,-35.0,True,codo_arriba,-68.19859051364818,65.75439171773498,-72.42211817665002,41.667726458915055,6.546139416680338e-17,1.4210854715202004e-14,Punto ejecutado.
